ID ,Text,Sentiment_text,Sentiment_label,seg_text_lstm,seg_text_crf
1,ខ្ញុំចូលចិត្តវា,Positive ,1.0,ខ្ញុំ ចូលចិត្ត វា,ខ្ញុំ ចូលចិត្ត វា
2,ផលិតផលនេះគុណភាពល្អ,Positive ,1.0,ផលិតផល នេះ គុណភាព ល្អ,ផលិតផល នេះ គុណភាព ល្អ
3,ប្រើប្រាស់មិនបានយូ ហើយថ្លៃទៀត,Negative,0.0,ប្រើប្រាស់ មិន បាន យូហើយ ថ្លៃ ទៀត,ប្រើប្រាស់ មិន បាន យូហើយ ថ្លៃ ទៀត
4,នៅតែពេញនិយមស្តាប់មិនធុញ,Positive ,1.0,នៅតែ ពេញនិយម ស្តាប់ មិន ធុញ,នៅតែ ពេញនិយម ស្តាប់ មិន ធុញ
5,ខ្ញុំអត់ចូលចិត្តត្រង់ កាមេរ៉ា មហាអន់ និយាយមែន,Negative,0.0,ខ្ញុំ អត់ ចូលចិត្ត ត្រង់ កាមេរ៉ា មហា អន់ និយាយ មែន,ខ្ញុំ អត់ ចូលចិត្ត ត្រង់ កាមេរ៉ា មហា អន់ និយាយ មែន
6,ខ្ញុំអត់ពេញចិត្តរូប១សន្លឹកដែលថតនោះ,Negative,0.0,ខ្ញុំ អត់ ពេញចិត្ត រូប ១ សន្លឹក ដែល ថត នោះ,ខ្ញុំ អត់ ពេញចិត្ត រូប ១ សន្លឹក ដែល ថត នោះ
7,ផលិតបានល្អខ្លាំងណាស់,Positive ,1.0,ផលិត បាន ល្អ ខ្លាំង ណាស់,ផលិត បាន ល្អ ខ្លាំង ណាស់
8,ខ្ញុំស្ដាប់10ដងហើយនៅតែពិរស់,Positive ,1.0,ខ្ញុំ ស្ដាប់ 10 ដង ហើយ នៅតែ ពិរស់,ខ្ញុំ ស្ដាប់ 10 ដង ហើយ នៅតែ ពិរស់
9,អ្នកបើកបរមានសុជីវធម៍ល្អ លើកក្រោយចង់ជិះជាមួយគាត់ទៀត,Positive ,1.0,អ្នកបើកបរ មាន សុជីវធម៍ ល្អ លើក ក្រោយ ចង់ ជិះ ជាមួយ គាត់ ទៀត,អ្នកបើកបរ មាន សុជីវធម៍ ល្អ លើក ក្រោយ ចង់ ជិះ ជាមួយ គាត់ ទៀត
10,សូមខំមិនរឿងអ្នកបើកបរម្សិលមិញពីសៀមរាបមកភ្នំពេញម៉ោង3កន្លះរសៀលអ្នកបើកបរលឿនហួសហេតុឈ្លើយឈប់ចូលបត់ជើង ម៉ាននាទីហូបបាយម៉ាននាទីក៏មិនប្រាប់បើកលឿនខ្លាំងដល់ថ្នាក់ខ្ញុំអង្គុយនៅខាងមុខចង់ក្អួតម៉ានដង,Negative,0.0,សូម ខំ មិន រឿង អ្នកបើកបរ ម្សិលមិញ ពី សៀមរាប មក ភ្នំពេញ ម៉ោង 3 កន្លះ រសៀល អ្នកបើកបរ លឿន ហួស ហេតុ ឈ្លើយ ឈប់ ចូល បត់ ជើង ម៉ាន នាទី ហូប បាយ ម៉ាន នាទី ក៏ មិន ប្រាប់ បើក លឿន ខ្លាំង ដល់ ថ្នាក់ ខ្ញុំ អង្គុយ នៅ ខាងមុខ ចង់ ក្អួត ម៉ាន ដង,សូម ខំ មិន រឿង អ្នកបើកបរ ម្សិលមិញ ពី សៀមរាប មក ភ្នំពេញ ម៉ោង 3 កន្លះ រសៀល អ្នកបើកបរ លឿន ហួសហេតុ ឈ្លើយ ឈប់ ចូល បត់ ជើង ម៉ាន នាទី ហូប បាយ ម៉ាន នាទី ក៏ មិន ប្រាប់ បើក លឿន ខ្លាំង ដល់ ថ្នាក់ ខ្ញុំ អង្គុយ នៅ ខាងមុខ ចង់ ក្អួត ម៉ាន ដង
11,ល្អតែម្ដងគុណភាពរបស់គេ,Positive,1.0,ល្អ តែម្ដង គុណភាព របស់ គេ,ល្អ តែម្ដង គុណភាព របស់ គេ
12,រឿងហ្នឹងល្អមើល,Positive,1.0,រឿង ហ្នឹង ល្អ មើល,រឿង ហ្នឹង ល្អ មើល
13,ល្អមើលមែន Rate អោយ 9/10 តែអត់យល់ហេតុអីបានគេយំ? ខ្ញុំមើលអត់យំផង,Positive,1.0,ល្អ មើល មែន Rate អោយ 9/10 តែ អត់ យល់ ហេតុអី បាន គេ យំ ? ខ្ញុំ មើល អត់ យំ ផង,ល្អ មើល មែន Rate អោយ 9/10 តែ អត់ យល់ ហេតុអី បាន គេ យំ ? ខ្ញុំ មើល អត់ យំ ផង
14,Rate8.5/10 ល្អមើល តែអត់យល់មិចបានគេយំ តែបើសិនជាយករឿងញុមមកសម្ដែងប្រហែលយំខ្លាំងជាងនឹងទៅទៀត,Positive,1.0,Rate8 . 5/10 ល្អ មើល តែ អត់ យល់ មិច បាន គេ យំ តែ បើសិនជា យក រឿង ញុម មក សម្ដែង ប្រហែល យំ ខ្លាំង ជាង នឹង ទៅ ទៀត,Rate8 . 5/10 ល្អ មើល តែ អត់ យល់ មិច បាន គេ យំ តែ បើសិនជា យក រឿង ញុម មក សម្ដែង ប្រហែល យំ ខ្លាំង ជាង នឹង ទៅ ទៀត
15,មើលហើយៗ. អត់យំអីផង. តែល្អមើលគួរសម តួស្អាតៗ,Positive,1.0,មើលហើយ ៗ . អត់ យំ អី ផង . តែ ល្អ មើល គួរ សមតួ ស្អាត ៗ,មើល ហើយ ៗ . អត់ យំ អី ផង . តែ ល្អ មើល គួរសម តួ ស្អាត ៗ
16,រឿងនឹងវគ្គ1មើលស្តាយលុយណាស់ ចឹងអត់មើលទៀតទេ4/10,Negative,0.0,រឿង នឹង វគ្គ 1 មើល ស្តាយ លុយ ណាស់ ចឹង អត់ មើល ទៀត ទេ 4/10,រឿង នឹង វគ្គ 1 មើល ស្តាយ លុយ ណាស់ ចឹង អត់ មើល ទៀត ទេ 4/10
17,ពិរោះណាស់ សូមអគុណ ដល់លោក ដែលបានខំស្រាវជ្រាវរក្សាទុក,Positive ,1.0,ពិរោះ ណាស់ សូម អគុណ ដល់ លោក ដែល បាន ខំ ស្រាវជ្រាវ រក្សាទុក,ពិរោះ ណាស់ សូម អគុណ ដល់ លោក ដែល បាន ខំ ស្រាវជ្រាវ រក្សាទុក
18,ពិរោះណាស់ខ្ញុំចូលចិត្តស្តាប់បទពីដើម,Positive ,1.0,ពិរោះ ណាស់ ខ្ញុំ ចូលចិត្ត ស្តាប់ បទ ពី ដើម,ពិរោះ ណាស់ ខ្ញុំ ចូលចិត្ត ស្តាប់ បទ ពី ដើម
19,ស្តាប់នៅតែពិរោះមិនសាបសូន្យ,Positive ,1.0,ស្តាប់ នៅតែ ពិរោះ មិន សាបសូន្យ,ស្តាប់ នៅតែ ពិរោះ មិន សាបសូន្យ
