ID ,Text,Sentiment_text,Sentiment_label
1,ខ្ញុំចូលចិត្តវា,Positive ,1
2,ផលិតផលនេះគុណភាពល្អ,Positive ,1
3,ប្រើប្រាស់មិនបានយូ ហើយថ្លៃទៀត,Negative,0
4,នៅតែពេញនិយមស្តាប់មិនធុញ,Positive ,1
5,ខ្ញុំអត់ចូលចិត្តត្រង់ កាមេរ៉ា មហាអន់ និយាយមែន,Negative,0
6,ខ្ញុំអត់ពេញចិត្តរូប១សន្លឹកដែលថតនោះ,Negative,0
7,ផលិតបានល្អខ្លាំងណាស់,Positive ,1
8,ខ្ញុំស្ដាប់10ដងហើយនៅតែពិរស់,Positive ,1
9,អ្នកបើកបរមានសុជីវធម៍ល្អ លើកក្រោយចង់ជិះជាមួយគាត់ទៀត,Positive ,1
10,សូមខំមិនរឿងអ្នកបើកបរម្សិលមិញពីសៀមរាបមកភ្នំពេញម៉ោង3កន្លះរសៀលអ្នកបើកបរលឿនហួសហេតុឈ្លើយឈប់ចូលបត់ជើង ម៉ាននាទីហូបបាយម៉ាននាទីក៏មិនប្រាប់បើកលឿនខ្លាំងដល់ថ្នាក់ខ្ញុំអង្គុយនៅខាងមុខចង់ក្អួតម៉ានដង,Negative,0
11,ល្អតែម្ដងគុណភាពរបស់គេ,Positive,1
12,រឿងហ្នឹងល្អមើល,Positive,1
13,ល្អមើលមែន Rate អោយ 9/10 តែអត់យល់ហេតុអីបានគេយំ? ខ្ញុំមើលអត់យំផង,Positive,1
14,Rate8.5/10 ល្អមើល តែអត់យល់មិចបានគេយំ តែបើសិនជាយករឿងញុមមកសម្ដែងប្រហែលយំខ្លាំងជាងនឹងទៅទៀត,Positive,1
15,មើលហើយៗ. អត់យំអីផង. តែល្អមើលគួរសម តួស្អាតៗ,Positive,1
16,រឿងនឹងវគ្គ1មើលស្តាយលុយណាស់ ចឹងអត់មើលទៀតទេ4/10,Negative,0
17,ពិរោះណាស់ សូមអគុណ ដល់លោក ដែលបានខំស្រាវជ្រាវរក្សាទុក,Positive ,1
18,ពិរោះណាស់ខ្ញុំចូលចិត្តស្តាប់បទពីដើម,Positive ,1
19,ស្តាប់នៅតែពិរោះមិនសាបសូន្យ,Positive ,1
20,មាននាក់ស្តាប់តើ,Positive ,1
21,ចូលចិត្ត,Positive ,1
22,គ្រាប់ពេជ្រនៅតែគ្រាប់ពេជ្រ,Positive ,1
23,ទាល់តែឧកញ៉ាធ្លាក់ខ្លួនបែបនេះ ទើបម្នាក់ៗពេញចិត្ត,Negative ,0
24,ខានលឺយូហើយអាយដល,Positive ,1
25,បងធំ មន្ត មកវិញហេីយ,Positive ,1
26,រង់ចាំយូរហេីយ​ អាយដល,Positive ,1
27,អានេះមើងាយគេសាហាវ,Negative ,0
28,ថាគេតាមដានវាតែដឹងពីគេគ្រប់រឿងម៉ង ម៉ាអាឈ្មោល,Negative ,0
29,អាប្អូននឹងវាថ្លើបធំហើយបានមកចង់លេងមួយបង,Negative ,0
30,ស្ដាយហា៎អត់បានទៅមើល,Negative ,0
31,បទអីនិងដឹងប្រាប់ផង,Negative ,0
32,បានត្រឹមមើលតាមឡាយ,Negative ,0
33,ញុមមើលឡាយខ្ចីលទៅរងាពេក,Positive ,1
34,ឈឺហើយអត់បានទៅមើលផ្ទាល់,Negative ,0
35,រវល់ខួបកំណើតកូនអត់បានទៅស្ដាយណាស់,Negative ,0
36,ស្តាយអត់ទៅមើលផ្ទាល់,Negative ,0
37,បទខ្មែរមិចក៏មិនច្រៀង,Negative ,0
38,អ្នកធ្វើគេខំណាស់ ណាស់តែពួកទើសទេ ទើសគ្រប់កន្លែងរកកន្លែងទើសគ្រប់ យ៉ាង,Negative ,0
